,date,south,west,north,south campus,south density,west density,north density,south compus density
0,2024-10-11 16:19:07.639602,0.41,0.3,0.28,0.02,13.062857142857142,7.552941176470588,12.039344262295083,19.54285714285714
0,2024-10-11 16:29:09.369566,0.41,0.29,0.27,0.03,15.630769230769232,7.267924528301887,10.06027397260274,18.368904593639574
0,2024-10-11 16:39:11.210881,0.39,0.27,0.27,0.03,16.184070796460176,8.56,9.537662337662336,15.705135951661632
0,2024-10-11 16:49:12.900976,0.38,0.27,0.25,0.03,13.960305343511452,8.754545454545454,11.298461538461538,16.661538461538463
0,2024-10-11 16:59:14.551784,0.36,0.26,0.24,0.03,16.933333333333334,8.656179775280897,9.537662337662336,11.922935779816513
0,2024-10-11 17:09:16.159575,0.35,0.26,0.23,0.03,12.526027397260275,8.465934065934066,9.663157894736841,18.304225352112677
0,2024-10-11 17:19:17.757432,0.33,0.24,0.21,0.03,13.447058823529412,8.855172413793102,9.537662337662336,19.841221374045805
0,2024-10-11 17:29:19.671975,0.32,0.24,0.2,0.03,14.2875,8.656179775280897,14.687999999999997,18.632258064516126
0,2024-10-11 17:39:21.377057,0.31,0.24,0.19,0.03,15.368067226890757,10.700000000000001,12.239999999999998,16.347169811320754
0,2024-10-11 17:49:23.154189,0.31,0.23,0.19,0.04,15.24,9.51111111111111,10.49142857142857,20.14883720930233
0,2024-10-11 17:59:25.013425,0.3,0.23,0.18,0.04,12.440816326530612,9.876923076923077,10.06027397260274,16.398738170347002
0,2024-10-11 18:09:26.698847,0.31,0.22,0.18,0.04,16.475675675675674,10.005194805194805,9.415384615384616,20.14883720930233
0,2024-10-11 18:19:28.225034,0.3,0.21,0.17,0.05,16.475675675675674,9.876923076923077,10.06027397260274,20.227237354085602
0,2024-10-11 18:29:30.008175,0.3,0.21,0.17,0.05,15.368067226890757,7.781818181818182,9.29620253164557,20.07104247104247
0,2024-10-11 18:39:31.708625,0.3,0.21,0.16,0.05,14.748387096774193,7.199999999999999,11.84516129032258,20.877108433734936
0,2024-10-11 18:49:33.422337,0.3,0.21,0.15,0.05,15.902608695652173,5.792481203007518,12.239999999999998,22.601739130434783
0,2024-10-11 18:59:35.038237,0.3,0.21,0.15,0.05,16.042105263157897,6.01875,11.298461538461538,23.104
0,2024-10-11 19:09:36.851720,0.3,0.2,0.14,0.06,16.042105263157897,7.199999999999999,12.239999999999998,24.291588785046727
0,2024-10-11 19:19:38.493649,0.3,0.19,0.13,0.06,16.184070796460176,6.528813559322034,13.6,24.99230769230769
0,2024-10-11 19:29:40.228480,0.3,0.18,0.13,0.07,15.630769230769232,7.337142857142857,14.399999999999999,25.48235294117647
0,2024-10-11 19:39:41.993451,0.3,0.18,0.12,0.07,15.902608695652173,5.836363636363636,10.343661971830986,20.385882352941174
0,2024-10-11 19:49:43.795831,0.3,0.18,0.12,0.07,15.902608695652173,6.263414634146342,11.127272727272725,25.358048780487803
0,2024-10-11 19:59:45.612457,0.3,0.18,0.11,0.07,15.24,6.940540540540541,10.343661971830986,25.48235294117647
0,2024-10-11 20:09:47.224496,0.29,0.18,0.11,0.07,11.151219512195121,8.855172413793102,10.49142857142857,26.79587628865979
0,2024-10-11 20:19:48.869359,0.29,0.18,0.1,0.07,11.648407643312101,8.95813953488372,11.298461538461538,27.075
0,2024-10-11 20:29:50.416752,0.29,0.18,0.1,0.06,14.99016393442623,8.56,12.039344262295083,26.934715025906733
